Iteration_Number  Configuration  Energy  Contact_count
536 uururdru -5.3 2
537 rururdru -5.3 2
538 lururdru -5.7 3
539 lururdru -5.7 3
540 lururrdl -6.5 3
541 druurrdl -6.5 3
542 druurrdl -6.5 3
543 druurrdl -6.5 3
544 lururrdl -6.5 3
545 lururrdl -6.5 3
546 lururrdl -6.5 3
547 lururrdl -6.5 3
548 lururrdl -6.5 3
549 druurrdl -6.5 3
550 druurrdl -6.5 3
551 druurrdl -6.5 3
552 druurrdl -6.5 3
553 uruurrdl -6 2
554 rruurrdl -6 2
555 rruurrdl -6 2
556 uruurrdl -6 2
557 uruurrdl -6 2
558 uruurrdl -6 2
559 uururrdl -6 2
560 lururrdl -6.5 3
561 lururrdl -6.5 3
562 lururrdl -6.5 3
563 druurrdl -6.5 3
564 druurrdl -6.5 3
565 druurrdl -6.5 3
566 rruurrdl -6 2
567 rruurrdl -6 2
568 rruurrdl -6 2
569 druurrdl -6.5 3
570 druurrdl -6.5 3
571 rruurrdl -6 2
572 druurrdl -6.5 3
573 druurdru -5.7 3
574 uruurdru -5.3 2
575 ruuurdru -5.3 2
576 uuuurdru -5.3 2
577 uuuurdru -5.3 2
578 uuuurdru -5.3 2
579 uuuurrdl -6 2
580 luuurrdl -6 2
581 luuurrdl -6 2
582 luuurrdl -6 2
583 luuurrdl -6 2
584 luuurrdl -6 2
585 luuurrdl -6 2
586 luuurrdl -6 2
587 uluurrdl -8.1 3
588 uluurrdl -8.1 3
589 uluurrdl -8.1 3
590 lluurrdl -9.9 4
591 lluurrdl -9.9 4
592 lluurrdl -9.9 4
593 lluurrdl -9.9 4
594 lluurrdl -9.9 4
595 lluurrdl -9.9 4
596 lluurrdl -9.9 4
597 lluurrdl -9.9 4
598 lluurrdl -9.9 4
599 lluurrdl -9.9 4
600 llddrrul -9.9 4
601 llddrrul -9.9 4
602 llddrrul -9.9 4
603 llddrrul -9.9 4
604 lluurrdl -9.9 4
605 lluurrdl -9.9 4
606 lluurrdl -9.9 4
607 lluurrdl -9.9 4
608 lluurrdl -9.9 4
609 lluurrdl -9.9 4
610 lluurrdl -9.9 4
611 lluurrdl -9.9 4
612 lluurrdl -9.9 4
613 lluurrdl -9.9 4
614 lluurrdl -9.9 4
615 lluurrdl -9.9 4
616 lluurrdl -9.9 4
617 lluurdru -8.4 4
618 lluurrdl -9.9 4
619 uluurrdl -8.1 3
620 uurulldd -6.2 3
621 uurulldd -6.2 3
622 uurulldd -6.2 3
623 uluurrdl -8.1 3
624 lluurrdl -9.9 4
625 lluurrdl -9.9 4
626 lluurrdl -9.9 4
627 llddrrul -9.9 4
628 dlddrrul -8.1 3
629 dlddrrul -8.1 3
630 dlddrrul -8.1 3
631 dlddrrul -8.1 3
632 dlddrrul -8.1 3
633 dlddrrul -8.1 3
634 llddrrul -9.9 4
635 llddrrul -9.9 4
636 llddrrul -9.9 4
637 llddrrul -9.9 4
638 dlddrrul -8.1 3
639 dlddrrul -8.1 3
640 dldrrdll -5.4 3
641 lldrrdll -7.1 4
642 lldrrdll -7.1 4
643 lldrrdll -7.1 4
644 llddrrul -9.9 4
645 llddrurd -8.4 4
646 llddrurd -8.4 4
647 llddrurd -8.4 4
648 llddrurd -8.4 4
649 llddrrul -9.9 4
650 llddrrul -9.9 4
651 llddrrul -9.9 4
652 lluurrdl -9.9 4
653 lluurrdl -9.9 4
654 lluurrdl -9.9 4
655 lluurrdl -9.9 4
656 lluurrdl -9.9 4
657 llddrrul -9.9 4
658 llddrurd -8.4 4
659 llddrrul -9.9 4
660 llddrrul -9.9 4
661 llddrrul -9.9 4
662 llddrrul -9.9 4
663 llddrrul -9.9 4
664 lluurrdl -9.9 4
665 lluurrdl -9.9 4
666 lluurrdl -9.9 4
667 lluurrdl -9.9 4
668 lluurrdl -9.9 4
669 lluurrdl -9.9 4
670 lluurrdl -9.9 4
671 llddrrul -9.9 4
672 llddrrul -9.9 4
673 llddrrul -9.9 4
674 llddrrul -9.9 4
675 llddrrul -9.9 4
676 lluurrdl -9.9 4
677 lluurdru -8.4 4
678 lluurrdl -9.9 4
679 lluurrdl -9.9 4
680 lluurrdl -9.9 4
681 lluurrdl -9.9 4
682 llddrrul -9.9 4
683 llddrrul -9.9 4
684 llddrrul -9.9 4
685 llddrrul -9.9 4
686 llddrrul -9.9 4
687 llddrrul -9.9 4
688 ldrdlluu -6.7 4
689 llddrrul -9.9 4
690 llddrrul -9.9 4
691 llddrrul -9.9 4
692 llddrrul -9.9 4
693 llddrrul -9.9 4
694 llddrrul -9.9 4
695 lluurrdl -9.9 4
696 lluurrdl -9.9 4
697 lluurrdl -9.9 4
698 llddrrul -9.9 4
699 llddrrul -9.9 4
700 dlddrrul -8.1 3
701 dlddrrul -8.1 3
702 llddrrul -9.9 4
703 lluurrdl -9.9 4
704 lluurrdl -9.9 4
705 lluurrdl -9.9 4
706 lluurrdl -9.9 4
707 lluurrdl -9.9 4
708 lluurdru -8.4 4
709 lluurdru -8.4 4
710 lluurdru -8.4 4
711 lluurdru -8.4 4
712 lluurdru -8.4 4
713 lluurdru -8.4 4
714 lluurrdl -9.9 4
715 lluurrdl -9.9 4
716 lluurrdl -9.9 4
717 lluurrdl -9.9 4
718 lluurrdl -9.9 4
719 lluurrdl -9.9 4
720 lluurrdl -9.9 4
721 lluurrdl -9.9 4
722 lluurrdl -9.9 4
723 llddrrul -9.9 4
724 llddrrul -9.9 4
725 llddrrul -9.9 4
726 llddrrul -9.9 4
727 llddrrul -9.9 4
728 llddrrul -9.9 4
729 lluurrdl -9.9 4
730 lluurrdl -9.9 4
731 lluurrdl -9.9 4
732 lluurrdl -9.9 4
733 lluurdru -8.4 4
734 lluurdru -8.4 4
735 lluurdru -8.4 4
736 lluurrdl -9.9 4
737 lurulldd -6.7 4
738 druulldd -6.1 4
739 dluurrdd -6.1 4
740 rulurrdd -6.7 4
741 rulurrdd -6.7 4
742 rruulldr -9.9 4
743 rruulldr -9.9 4
744 rruulldr -9.9 4
745 rruulldr -9.9 4
746 rrddllur -9.9 4
747 rrddllur -9.9 4
748 rrddllur -9.9 4
749 rrddllur -9.9 4
750 rrdlldrr -7.1 4
751 rrdlldrr -7.1 4
752 rrdlldrr -7.1 4
753 rullddrr -6.1 4
754 rullddrr -6.1 4
755 rullddrr -6.1 4
756 dlulddrr -6.7 4
757 dlulddrr -6.7 4
758 ddlluurd -9.9 4
759 ddlluurd -9.9 4
760 ddlluurd -9.9 4
761 ddlluurd -9.9 4
762 ddlluurd -9.9 4
763 ddlluurd -9.9 4
764 ddrruuld -9.9 4
765 ddrruuld -9.9 4
766 ddrruuld -9.9 4
767 ddrruuld -9.9 4
768 ddrruuld -9.9 4
769 rdrruuld -8.1 3
770 rdrruuld -8.1 3
771 rdrruuld -8.1 3
772 rdrruuld -8.1 3
773 rdrrulur -6.6 3
774 rdrruuld -8.1 3
775 rdrruuld -8.1 3
776 rdrruuld -8.1 3
777 rdrruuld -8.1 3
778 rdrruuld -8.1 3
779 rdrruuld -8.1 3
780 rdrruuld -8.1 3
781 rdrruuld -8.1 3
782 rdrruuld -8.1 3
783 rdrruuld -8.1 3
784 rdrruuld -8.1 3
785 rdrruuld -8.1 3
786 rdrruuld -8.1 3
787 rdrruuld -8.1 3
788 rdrruuld -8.1 3
789 rdrruuld -8.1 3
790 rdrruuld -8.1 3
791 drrruuld -6 2
792 rdrruuld -8.1 3
793 rrurddll -6.2 3
794 rrurddll -6.2 3
795 rrurddll -6.2 3
796 drurddll -6.7 4
797 rrurddll -6.2 3
798 rrurddll -6.2 3
799 rrurddll -6.2 3
800 drurddll -6.7 4
801 ddrruuld -9.9 4
802 ddrruuld -9.9 4
803 ddrrulur -8.4 4
804 ddrrulur -8.4 4
805 ddrrulur -8.4 4
806 ddrrulur -8.4 4
807 ddrrulur -8.4 4
808 rdlluurr -6.1 4
809 rdlluurr -6.1 4
810 uldluurr -6.7 4
811 uldluurr -6.7 4
812 uullddru -9.9 4
813 lullddru -8.1 3
814 lullddru -8.1 3
815 lullddru -8.1 3
816 uullddru -9.9 4
817 uurrddlu -9.9 4
818 uurddruu -7.1 4
819 uurddruu -7.1 4
820 uurddruu -7.1 4
821 uurddruu -7.1 4
822 uurddruu -7.1 4
823 uurrddlu -9.9 4
824 uurrddlu -9.9 4
825 uurrddlu -9.9 4
826 uullddru -9.9 4
827 uullddru -9.9 4
828 uullddru -9.9 4
829 uullddru -9.9 4
830 uullddru -9.9 4
831 uullddru -9.9 4
832 uullddru -9.9 4
833 uullddru -9.9 4
834 uldluurr -6.7 4
835 uldluurr -6.7 4
836 uldluurr -6.7 4
837 lldluurr -6.2 3
838 lldluurr -6.2 3
839 lldluurr -6.2 3
840 lullddru -8.1 3
841 lullddru -8.1 3
842 lullddru -8.1 3
843 lullddru -8.1 3
844 lullddru -8.1 3
845 uullddru -9.9 4
846 uullddru -9.9 4
847 uullddru -9.9 4
848 uulldrdl -8.4 4
849 uulldrdl -8.4 4
850 uullddru -9.9 4
851 uullddru -9.9 4
852 uulldrdl -8.4 4
853 uulldrdl -8.4 4
854 uulldrdl -8.4 4
855 uulldrdl -8.4 4
856 uulldrdl -8.4 4
857 uulldrdl -8.4 4
858 uulldrdl -8.4 4
859 uulldrdl -8.4 4
860 uulldrdl -8.4 4
861 uulldrdl -8.4 4
862 uulldrdl -8.4 4
863 uullddru -9.9 4
864 uullddru -9.9 4
865 uullddru -9.9 4
866 uullddru -9.9 4
867 uullddru -9.9 4
868 uurrddlu -9.9 4
869 uurrddlu -9.9 4
870 uurrddlu -9.9 4
871 uurrddlu -9.9 4
872 uullddru -9.9 4
873 uullddru -9.9 4
874 uullddru -9.9 4
875 uullddru -9.9 4
876 uullddru -9.9 4
877 uurrddlu -9.9 4
878 uurrddlu -9.9 4
879 uurrddlu -9.9 4
880 uurrddlu -9.9 4
881 uullddru -9.9 4
882 uullddru -9.9 4
883 uullddru -9.9 4
884 uullddru -9.9 4
885 uullddru -9.9 4
886 uullddru -9.9 4
887 uullddru -9.9 4
888 uullddru -9.9 4
889 uullddru -9.9 4
890 uullddru -9.9 4
891 uullddru -9.9 4
892 uullddru -9.9 4
893 uullddru -9.9 4
894 uullddru -9.9 4
895 uurrddlu -9.9 4
896 uurrdldr -8.4 4
897 uurrdldr -8.4 4
898 uurrdldr -8.4 4
899 uurrddlu -9.9 4
900 uurrddlu -9.9 4
901 uurrddlu -9.9 4
902 uurrddlu -9.9 4
903 uurrddlu -9.9 4
904 uullddru -9.9 4
905 uullddru -9.9 4
906 uullddru -9.9 4
907 uullddru -9.9 4
908 uullddru -9.9 4
909 uullddru -9.9 4
910 uullddru -9.9 4
911 uulldrdl -8.4 4
912 uulldrdl -8.4 4
913 uulldrdl -8.4 4
914 uulldrdl -8.4 4
915 uullddru -9.9 4
916 uullddru -9.9 4
917 uurrddlu -9.9 4
918 uurrddlu -9.9 4
919 uurrddlu -9.9 4
920 uurrddlu -9.9 4
921 uurrddlu -9.9 4
922 uurrddlu -9.9 4
923 uurddruu -7.1 4
924 uurddruu -7.1 4
925 uurddruu -7.1 4
926 rurddruu -5.4 3
927 rurddruu -5.4 3
928 rurrddlu -8.1 3
929 rurrddlu -8.1 3
930 rurrddlu -8.1 3
931 uurrddlu -9.9 4
932 rurrddlu -8.1 3
933 urrrddlu -6 2
934 urrrddlu -6 2
935 drrrddlu -6 2
936 urrrddlu -6 2
937 urrrddlu -6 2
938 urrrddlu -6 2
939 urrrddlu -6 2
940 rurrddlu -8.1 3
941 uurrddlu -9.9 4
942 uurrddlu -9.9 4
943 uullddru -9.9 4
944 uullddru -9.9 4
945 uullddru -9.9 4
946 uullddru -9.9 4
947 uullddru -9.9 4
948 uulldrdl -8.4 4
949 uulldrdl -8.4 4
950 uulldrdl -8.4 4
951 uulldrdl -8.4 4
952 uulldrdl -8.4 4
953 uulldrdl -8.4 4
954 uulldrdl -8.4 4
955 uulldrdl -8.4 4
956 lulldrdl -6.6 3
957 lulldrdl -6.6 3
958 lullddru -8.1 3
959 lullddru -8.1 3
960 uullddru -9.9 4
961 uurrddlu -9.9 4
962 uurrddlu -9.9 4
963 uullddru -9.9 4
964 uullddru -9.9 4
965 uullddru -9.9 4
